Gene ID	Symbol	Name
8128	ST8SIA2	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2
4036	LRP2	LDL receptor related protein 2
5067	CNTN3	contactin 3
6091	ROBO1	roundabout guidance receptor 1
6092	ROBO2	roundabout guidance receptor 2
54221	SNTG2	syntrophin gamma 2
5071	PRKN	parkin RBR E3 ubiquitin protein ligase
6095	RORA	RAR related orphan receptor A
4049	LTA	lymphotoxin alpha
7124	TNF	tumor necrosis factor
5077	PAX3	paired box 3
2006	ELN	elastin
5080	PAX6	paired box 6
7133	TNFRSF1B	TNF receptor superfamily member 1B
9181	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2
100379174	MACROD2-AS1	MACROD2 antisense RNA 1
2020	EN2	engrailed homeobox 2
23524	SRRM2	serine/arginine repetitive matrix 2
8165	AKAP1	A-kinase anchoring protein 1
83943	IMMP2L	inner mitochondrial membrane peptidase subunit 2
151531	UPP2	uridine phosphorylase 2
2028	ENPEP	glutamyl aminopeptidase
5101	PCDH9	protocadherin 9
1006	CDH8	cadherin 8
1007	CDH9	cadherin 9
1008	CDH10	cadherin 10
26608	TBL2	transducin beta like 2
2033	EP300	E1A binding protein p300
157680	VPS13B	vacuolar protein sorting 13 homolog B
1012	CDH13	cadherin 13
6134	RPL10	ribosomal protein L10
23542	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2
1015	CDH17	cadherin 17
3064	HTT	huntingtin
4089	SMAD4	SMAD family member 4
1020	CDK5	cyclin dependent kinase 5
3069	HDLBP	high density lipoprotein binding protein
4094	MAF	MAF bZIP transcription factor
7166	TPH1	tryptophan hydroxylase 1
